Blockno,DateTime (UTC),Parent Transaction Hash,Status,Type,From,From_Nametag,To,To_Nametag,Amount,Value (USD)
"","","0xd0c7725eb05cea288ef1fcab6d2f1710d7be82f2a31ff9edc75434333723afa6","Success","call","0x410b72ccfeacbb20a31785edaa358d25a07e143d","","0x4200000000000000000000000000000000000006","Wrapped Ether","0.01 ETH","$22.09"
"","","0x30ffdc85698695ff1f5f85b4500594c47a1eee3f0ab7f339992b9d2739b671ee","Success","call","0xb5cedaf172425bdea4c186f6fcf30b367273da19","","0x1f49a3fa2b5b5b61df8de486abb6f3b9df066d86","","0.002174 ETH","$4.80"
"","","0xa6e41d553cac28b9f394decf5a69b77ded81a08be1f33512942133ba71722989","Success","call","0xa5f565650890fba1824ee0f21ebbbf660a179934","Reservoir: Relay Receiver","0xf70da97812cb96acdf810712aa562db8dfa3dbef","","0.018695141240803433 ETH","$41.30"
"","","0x5adab6bfec74bd6bdb4e188d175fa8ff9663e4f44a4423c3f897e97cb7ff42d0","Success","call","0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad","Uniswap: Universal Router V2 Support","0x4200000000000000000000000000000000000006","Wrapped Ether","224 wei","$0.00"
"","","0x791f061ae5ff9a0c7463fe4cdbd70439b1d9cc0156ade805c76adba0e8c32562","Success","call","0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad","Uniswap: Universal Router V2 Support","0x4200000000000000000000000000000000000006","Wrapped Ether","397 wei","$0.00"
"","","0x54ccdfd552b50e8e998cfde0bc581a8cd022ca6ce7bd6274e9055570e3ded0e0","Success","call","0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad","Uniswap: Universal Router V2 Support","0x4200000000000000000000000000000000000006","Wrapped Ether","351 wei","$0.00"
"","","0x74d2824d93a490084f34c6c6135e845cc603a2249b740148a497fe5dbdc5359f","Success","call","0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad","Uniswap: Universal Router V2 Support","0x4200000000000000000000000000000000000006","Wrapped Ether","410 wei","$0.00"
"","","0x82f5f60f1cccd03023239e26413d8eae9317e5bb35b49b1df1a89046f951e4d9","Success","call","0xdc181bd607330aeebef6ea62e03e5e1fb4b6f7c7","Stargate: Pool Native","0x07edadc94f56af10427f3ed5cf211c4a227b05a9","","0.03253 ETH","$71.86"
"","","0xe065f8ac24a7fa01d5ed6bc5e54af93ee6d6467e1d9992a70b52364eb2f1998d","Success","call","0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24","Uniswap: V2 Router02","0x4200000000000000000000000000000000000006","Wrapped Ether","0.1504 ETH","$332.25"
"","","0xe065f8ac24a7fa01d5ed6bc5e54af93ee6d6467e1d9992a70b52364eb2f1998d","Success","call","0x010fde34853a5c024fa5c84d8824256072743be8","","0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24","Uniswap: V2 Router02","0.1504 ETH","$332.25"
"","","0x3ac67de57002dddf30d05d7dde05eb600d0fa458eeebcd3a8807a5c8a009d924","Success","call","0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24","Uniswap: V2 Router02","0x010fde34853a5c024fa5c84d8824256072743be8","","0.226063336552684814 ETH","$499.41"
